Depth (m),GR,RHOB,NPHI,RESD,DT,DTs,Porosity
642.671,31.343,2.379,0.109,2.519,71.121,120.934,0.163735597331716
642.823,32.179,2.35,0.11,2.589,71.237,121.561,0.181322013341419
642.976,31.537,2.391,0.113,2.512,71.353,121.428,0.156458459672529
643.128,29.502,2.415,0.113,2.425,71.469,120.588,0.141904184354154
643.28,28.015,2.398,0.115,2.412,70.945,118.962,0.152213462704669
643.433,26.415,2.386,0.117,2.403,69.55,115.849,0.159490600363857
643.585,26.04,2.392,0.123,2.405,68.161,113.361,0.155852031534263
643.738,27.304,2.395,0.127,2.415,67.38,112.65,0.154032747119466
643.89,29.656,2.383,0.123,2.428,66.595,112.438,0.161309884778654
644.042,30.743,2.371,0.117,2.447,65.96,111.874,0.168587022437841
644.195,30.326,2.37,0.115,2.396,65.582,111.039,0.169193450576107
644.347,29.39,2.377,0.119,2.21,64.944,109.527,0.164948453608248
644.5,29.066,2.376,0.122,1.993,64.944,109.378,0.165554881746513
644.652,30.203,2.371,0.117,1.891,64.944,109.901,0.168587022437841
644.804,31.712,2.381,0.11,1.883,66.707,113.607,0.162522741055185
644.957,31.312,2.4,0.106,1.88,70.551,119.949,0.151000606428138
645.109,29.549,2.392,0.106,1.879,72.858,122.956,0.155852031534263
645.262,27.95,2.405,0.104,1.884,76.872,128.865,0.14796846573681
645.414,27.058,2.438,0.098,1.853,75.526,126.139,0.127956337174045
645.566,27.11,2.437,0.095,1.708,69.245,115.674,0.128562765312311
645.719,27.945,2.436,0.097,1.474,67.612,113.341,0.129169193450576
645.871,28.771,2.434,0.101,1.301,68.046,114.462,0.130382049727107
646.024,27.974,2.431,0.102,1.204,68.685,115.152,0.132201334141904
646.176,27.048,2.438,0.101,1.149,69.033,123.704,0.127956337174045
646.328,26.34,2.417,0.098,1.14,68.654,122.74,0.140691328077623
646.481,25.81,2.396,0.095,1.142,68.539,122.321,0.153426318981201
646.633,25.606,2.401,0.093,1.137,68.917,122.913,0.150394178289873
646.786,28.219,2.4,0.09,1.113,68.539,123.296,0.151000606428138
646.938,32.685,2.387,0.089,1.095,68.308,124.723,0.158884172225591
647.09,35.118,2.383,0.089,1.154,68.569,126.231,0.161309884778654
647.243,34.207,2.395,0.089,1.151,68.801,126.268,0.154032747119466
647.395,30.807,2.409,0.092,1.048,69.033,125.256,0.145542753183748
647.548,27.907,2.407,0.101,0.994,68.917,123.847,0.146755609460279
647.7,25.065,2.405,0.112,0.979,68.685,122.282,0.14796846573681
647.852,22.921,2.403,0.118,0.987,68.917,121.839,0.149181322013341
648.005,22.451,2.398,0.12,0.989,69.033,121.858,0.152213462704669
648.157,24.11,2.394,0.119,0.95,68.801,122.106,0.154639175257732
648.31,26.754,2.378,0.12,0.846,68.801,123.169,0.164342025469982
648.462,26.965,2.374,0.118,0.801,68.917,123.463,0.166767738023044
648.614,25.919,2.373,0.117,0.837,68.917,123.039,0.16737416616131
648.767,25.238,2.374,0.118,0.849,69.408,123.64,0.166767738023044
648.919,25.709,2.377,0.119,0.839,69.408,123.831,0.164948453608248
649.072,27.049,2.36,0.116,0.833,69.178,123.964,0.175257731958763
649.224,28.549,2.353,0.111,0.841,69.294,124.79,0.179502728926622
649.376,28.627,2.362,0.104,0.838,69.294,124.822,0.174044875682232
649.529,26.675,2.378,0.102,0.835,69.294,124.02,0.164342025469982
649.681,25.398,2.391,0.104,0.838,69.149,123.242,0.156458459672529
649.834,25.165,2.418,0.105,0.831,69.149,123.148,0.140084899939357
649.986,25.374,2.46,0.104,0.868,69.178,123.284,0.114614918132201
650.138,24.821,2.485,0.101,0.988,69.062,122.855,0.099454214675561
650.291,24.692,2.468,0.101,1.02,68.801,122.339,0.109763493026076
650.443,25.506,2.417,0.102,1.041,68.569,122.252,0.140691328077623
650.596,25.068,2.406,0.099,1.116,68.569,122.077,0.147362037598545
650.748,24.615,2.421,0.097,1.119,68.569,121.896,0.13826561552456
650.9,23.581,2.426,0.098,1.128,68.685,121.69,0.135233474833232
651.053,22.976,2.425,0.096,1.126,68.917,121.861,0.135839902971498
651.205,22.774,2.426,0.092,1.119,69.033,121.986,0.135233474833232
651.358,22.925,2.431,0.086,1.148,69.294,122.507,0.132201334141904
651.51,23.777,2.459,0.082,1.295,69.555,123.311,0.115221346270467
651.662,23.509,2.529,0.085,1.612,69.176,122.532,0.0727713765918739
651.815,24.581,2.578,0.091,1.741,68.424,121.624,0.0430563978168588
651.967,27.002,2.533,0.098,1.633,68.134,122.076,0.0703456640388115
652.12,28.932,2.478,0.102,1.604,68.105,122.805,0.10369921164342
652.272,29.491,2.474,0.102,1.609,67.989,122.823,0.106124924196483
652.424,28.8,2.472,0.103,1.612,67.728,122.071,0.107337780473014
652.577,29.471,2.47,0.103,1.628,67.612,122.134,0.108550636749545
652.729,32.795,2.473,0.103,1.786,67.757,123.762,0.106731352334748
652.882,37.643,2.479,0.096,2.421,67.757,125.812,0.103092783505155
653.034,41.577,2.46,0.09,3.552,67.757,127.525,0.114614918132201
653.186,42.294,2.473,0.088,4.243,68.163,128.607,0.106731352334748
653.339,42.609,2.527,0.088,4.325,69.318,130.93,0.073984232868405
653.491,45.926,2.554,0.089,4.337,70.828,135.342,0.0576106731352336
653.644,48.929,2.531,0.086,4.33,70.682,136.503,0.0715585203153426
653.796,45.373,2.496,0.085,4.353,70.682,134.8,0.0927835051546392
653.948,37.001,2.499,0.088,4.154,70.063,129.809,0.0909642207398423
654.101,31.543,2.504,0.09,3.004,68.685,124.932,0.0879320800485143
654.253,32.914,2.505,0.093,2.116,69.176,126.405,0.0873256519102487
654.406,35.819,2.5,0.1,1.868,70.45,130.001,0.0903577926015767
654.558,35.336,2.472,0.105,1.768,71.237,131.239,0.107337780473014
654.71,33.285,2.47,0.105,1.744,71.468,130.756,0.108550636749545
654.863,33.013,2.495,0.098,1.736,70.679,129.193,0.0933899332929047
655.015,33.582,2.507,0.093,1.737,69.932,128.073,0.0861127956337174
655.168,33.535,2.496,0.085,1.743,69.932,128.053,0.0927835051546392
655.32,39.277,2.493,0.083,1.739,69.932,130.578,0.0946027895694361
655.472,54.047,2.499,0.097,1.725,69.815,137.326,0.0909642207398423
655.625,72.013,2.503,0.124,1.984,68.944,145.04,0.0885385081867798
655.777,83.311,2.53,0.149,3.903,72.042,158.484,0.0721649484536084
655.93,86.014,2.579,0.152,9.3,74.649,166.037,0.042449969678593
656.082,83.945,2.627,0.139,12.635,72.594,160.11,0.0133414190418437
656.234,80.051,2.638,0.13,12.255,71.468,155.176,0.0421052631578948
656.387,78.528,2.638,0.139,12.233,72.473,156.406,0.0421052631578948
656.539,80.412,2.652,0.16,12.224,69.798,151.769,0.0339181286549707
656.692,83.821,2.648,0.175,12.225,66.22,145.979,0.0362573099415204
656.844,86.215,2.651,0.19,12.23,66.741,148.57,0.0345029239766083
656.996,89.724,2.49,0.234,12.224,65.297,147.473,0.0964220739842327
657.149,93.307,2.355,0.291,12.023,64.559,145.975,0.178289872650091
657.301,94.173,2.388,0.317,8.773,65.088,147.169,0.158277744087326
657.454,91.692,2.377,0.299,5.573,63.897,144.478,0.164948453608248
657.606,88.118,2.346,0.275,4.922,63.234,141.868,0.183747725894481
657.758,84.661,2.328,0.264,5.206,63.897,141.34,0.194663432383263
657.911,80.708,2.314,0.269,5.345,65.46,142.505,0.203153426318981
658.063,76.543,2.298,0.296,5.353,66.481,142.354,0.212856276531231
658.216,72.806,2.295,0.339,5.35,66.858,141.084,0.214675560946028
658.368,71.58,2.254,0.378,5.337,67.003,140.721,0.239539114614918
658.52,72.166,2.144,0.394,5.347,67.003,141.04,0.306246209824136
658.673,73.663,2.102,0.381,5.559,67.119,142.108,0.331716191631292
658.825,76.248,2.152,0.367,6.201,66.067,141.303,0.301394784718011
658.978,78.858,2.295,0.378,6.487,61.76,133.461,0.214675560946028
659.13,81.809,2.403,0.397,5.601,58.653,128.25,0.149181322013341
659.282,86.383,2.394,0.376,4.856,58.624,130.589,0.154639175257732
659.435,89.934,2.395,0.314,4.842,60.027,135.689,0.154032747119466
659.587,89.916,2.423,0.254,5.039,63.911,144.459,0.137052759248029
659.74,85.813,2.474,0.219,5.433,70.366,156.381,0.106124924196483
659.892,82.977,2.512,0.213,6.689,74.687,164.083,0.0830806549423893
